date,open,high,low,close,adjusted_close,volume
2023-09-01,1.2671,1.2713,1.2578,1.2588,1.2588,761
2023-09-03,1.2593,1.2594,1.2587,1.2591,1.2591,71
2023-09-04,1.2591,1.2643,1.2588,1.2623,1.2623,46
2023-09-05,1.2623,1.2632,1.2528,1.257,1.257,767
2023-09-06,1.257,1.2588,1.2482,1.2498,1.2498,720
2023-09-07,1.2498,1.2509,1.2446,1.2475,1.2475,440
2023-09-08,1.2476,1.2514,1.2451,1.2463,1.2463,213
2023-09-10,1.2473,1.2493,1.2472,1.2489,1.2489,26
2023-09-11,1.2489,1.2548,1.2482,1.2508,1.2508,73
2023-09-12,1.2508,1.253,1.246,1.2491,1.2491,408
2023-09-13,1.2491,1.2512,1.2435,1.249,1.249,472
2023-09-14,1.249,1.2506,1.2397,1.2401,1.2401,764
2023-09-15,1.2401,1.2446,1.2379,1.2384,1.2384,199
2023-09-17,1.2386,1.2398,1.2385,1.2398,1.2398,30
2023-09-18,1.2397,1.241,1.237,1.2383,1.2383,237
2023-09-19,1.2383,1.2425,1.237,1.2393,1.2393,126
2023-09-20,1.2393,1.2421,1.2324,1.2327,1.2327,576
2023-09-21,1.2327,1.2332,1.2234,1.2293,1.2293,773
2023-09-22,1.2293,1.2294,1.2231,1.2238,1.2238,525
2023-09-24,1.2248,1.2256,1.2239,1.2241,1.2241,91
2023-09-25,1.2241,1.2251,1.2194,1.2213,1.2213,404
2023-09-26,1.2213,1.2215,1.2144,1.2146,1.2146,583
2023-09-27,1.2146,1.2165,1.2111,1.2136,1.2136,313
2023-09-28,1.2136,1.2225,1.212,1.2204,1.2204,146
2023-09-29,1.2204,1.2272,1.2181,1.2204,1.2204,214
2023-10-01,1.2204,1.2209,1.218,1.2193,1.2193,213
2023-10-02,1.2193,1.222,1.2084,1.209,1.209,912
2023-10-03,1.209,1.2102,1.2053,1.2078,1.2078,332
2023-10-04,1.2078,1.2177,1.2037,1.2137,1.2137,352
2023-10-05,1.2137,1.2196,1.2108,1.2187,1.2187,261
2023-10-06,1.2187,1.2262,1.2106,1.2238,1.2238,687
2023-10-08,1.2204,1.2222,1.2201,1.222,1.222,46
2023-10-09,1.222,1.2252,1.2163,1.225,1.225,483
2023-10-10,1.225,1.2295,1.2212,1.229,1.229,326
2023-10-11,1.229,1.2338,1.2269,1.2315,1.2315,190
2023-10-12,1.2315,1.2332,1.2172,1.2183,1.2183,1186
2023-10-13,1.2183,1.2225,1.2123,1.2139,1.2139,513
2023-10-15,1.2144,1.2158,1.2136,1.2155,1.2155,84
2023-10-16,1.2155,1.222,1.2143,1.2212,1.2212,119
2023-10-17,1.2212,1.2216,1.2133,1.2178,1.2178,662
2023-10-18,1.2178,1.2211,1.2137,1.2142,1.2142,355
2023-10-19,1.2142,1.2192,1.209,1.2136,1.2136,442
2023-10-20,1.2136,1.217,1.2093,1.2164,1.2164,368
2023-10-22,1.2163,1.2166,1.2158,1.2163,1.2163,56
2023-10-23,1.2163,1.2259,1.2143,1.2249,1.2249,181
2023-10-24,1.2249,1.2289,1.2154,1.2162,1.2162,801
2023-10-25,1.2162,1.2176,1.2095,1.2102,1.2102,573
2023-10-26,1.2103,1.214,1.207,1.2136,1.2136,290
